scorer,model,model,model,model,model,model,model,model,model,model,model,model,model,model,model,model,model,model,model,model,model,model,model,model,,,,,,,,,,,,,,,,model
bodyparts,abdomen-top,abdomen-top,abdomen-top,addomen-bot,addomen-bot,addomen-bot,hind-top,hind-top,hind-top,hind-bot,hind-bot,hind-bot,mid-top,mid-top,mid-top,mid-bot,mid-bot,mid-bot,fore-top,fore-top,fore-top,fore-bot,fore-bot,fore-bot,,,,,,,,,,,,,,,,
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,,,,,,,,,,,,,,,,
0,46.5663414001465,132.622192382813,0.5,69.9675674438477,166.289642333984,0.5,84.996940612793,123.611755371094,0.5,69.3170776367188,172.907073974609,0.5,108.703147888184,73.2013244628906,0.5,141.16389465332,111.921829223633,0.5,218.27473449707,71.5786209106445,0.5,244.814163208008,98.7146835327149,0.5,,,,,,,,,,,,,,,,
1,46.9702224731445,132.949752807617,0.5,71.7079086303711,167.00373840332,0.5,84.8966445922852,123.741203308105,0.5,68.5879821777344,173.456420898437,0.5,108.957359313965,72.8271636962891,0.5,141.335083007813,112.526123046875,0.5,218.547012329102,71.6866836547852,0.5,244.612701416016,99.2093963623047,0.5,,,,,,,,,,,,,,,,
2,47.6791114807129,132.827346801758,0.5,72.9443283081055,167.533096313477,0.5,84.3612060546875,123.366607666016,0.5,68.7532958984375,174.464996337891,0.5,108.728584289551,71.0808258056641,0.5,141.517059326172,112.356468200684,0.5,218.25422668457,71.8765411376953,0.5,244.182922363281,98.7402954101563,0.5,,,,,,,,,,,,,,,,
3,47.9017372131348,133.724746704102,0.5,73.2864303588867,167.252990722656,0.5,83.8598785400391,122.888275146484,0.5,68.8423309326172,173.603286743164,0.5,108.495658874512,71.6289596557617,0.5,141.609313964844,111.899658203125,0.5,216.532302856445,71.3359451293945,0.5,244.231521606445,98.9437408447266,0.5,,,,,,,,,,,,,,,,
4,47.698413848877,133.288604736328,0.5,72.9783248901367,166.555252075195,0.5,82.9540939331055,123.825729370117,0.5,68.6553573608398,174.121215820313,0.5,108.915687561035,69.4339447021484,0.5,141.608200073242,111.858795166016,0.5,216.910415649414,71.2524719238281,0.5,244.117935180664,97.9486083984375,0.5,,,,,,,,,,,,,,,,
5,47.883243560791,133.278335571289,0.5,72.4905166625977,166.633438110352,0.5,83.7657089233398,122.65998840332,0.5,68.9254379272461,173.252822875977,0.5,108.108680725098,69.4955444335938,0.5,141.288619995117,110.095855712891,0.5,216.690704345703,70.443962097168,0.5,243.808181762695,98.1538314819336,0.5,,,,,,,,,,,,,,,,
6,47.1224555969238,133.084732055664,0.5,72.2924118041992,166.398513793945,0.5,83.294792175293,123.174095153809,0.5,68.3135299682617,174.137344360352,0.5,108.721321105957,70.5675277709961,0.5,141.374526977539,110.018821716309,0.5,215.878845214844,70.0371704101562,0.5,243.548324584961,97.5654220581055,0.5,,,,,,,,,,,,,,,,
